,open,high,low,close,volume
2023-11-30,0.87375,0.87708,0.86835,0.87511,0
2023-12-01,0.87512,0.87683,0.86787,0.86886,0
2023-12-04,0.87023,0.87553,0.86658,0.87273,0
2023-12-05,0.87265,0.87661,0.87139,0.87486,0
2023-12-06,0.87479,0.87598,0.87285,0.87477,0
2023-12-07,0.87459,0.87822,0.87275,0.87477,0
2023-12-08,0.87509,0.88206,0.87406,0.87965,0
2023-12-11,0.88005,0.88161,0.87784,0.87838,0
2023-12-12,0.87822,0.8786,0.87218,0.87531,0
2023-12-13,0.87529,0.87801,0.869,0.87158,0
2023-12-14,0.87148,0.87319,0.86298,0.86747,0
2023-12-15,0.86742,0.87114,0.86515,0.87008,0
2023-12-18,0.86859,0.87113,0.8666,0.8671,0
2023-12-19,0.86703,0.86799,0.85925,0.86088,0
2023-12-20,0.86089,0.86509,0.85925,0.86274,0
2023-12-21,0.86265,0.86346,0.85596,0.85619,0
2023-12-22,0.85614,0.85736,0.85135,0.85503,0
2023-12-25,0.8555,0.8569,0.8539,0.8539,0
2023-12-26,0.8539,0.85798,0.85308,0.85359,0
2023-12-27,0.85354,0.8549,0.84083,0.84276,0
2023-12-28,0.84263,0.84511,0.83322,0.84478,0
2023-12-29,0.84478,0.84516,0.8356,0.84109,0
2024-01-01,0.8399,0.8407,0.8395,0.8396,0
2024-01-02,0.83963,0.85069,0.83859,0.85008,0
2024-01-03,0.85024,0.85543,0.84861,0.84899,0
2024-01-04,0.84903,0.85288,0.84768,0.8502,0
2024-01-05,0.85018,0.85771,0.84548,0.84945,0
2024-01-08,0.84952,0.8521,0.84599,0.84793,0
2024-01-09,0.84787,0.8532,0.84639,0.85226,0
2024-01-10,0.85214,0.85354,0.85064,0.8508,0
2024-01-11,0.85068,0.85662,0.8485,0.8518,0
2024-01-12,0.85184,0.85508,0.8488,0.85171,0
2024-01-15,0.85179,0.85621,0.85105,0.85545,0
2024-01-16,0.85555,0.86195,0.85458,0.86154,0
2024-01-17,0.86138,0.86852,0.86015,0.86435,0
2024-01-18,0.86423,0.8694,0.86327,0.86802,0
2024-01-19,0.86793,0.87044,0.86715,0.86764,0
2024-01-22,0.86786,0.87005,0.86655,0.86894,0
2024-01-23,0.86889,0.87282,0.86496,0.8701,0
2024-01-24,0.87018,0.8704,0.86061,0.86285,0
2024-01-25,0.86285,0.86847,0.86199,0.86703,0
2024-01-26,0.86629,0.86851,0.86157,0.86364,0
2024-01-29,0.86346,0.86523,0.86064,0.86119,0
2024-01-30,0.86079,0.8643,0.86046,0.8617,0
2024-01-31,0.86162,0.86435,0.85504,0.86134,0
2024-02-01,0.86123,0.86494,0.85706,0.85779,0
2024-02-02,0.85779,0.86806,0.85528,0.86669,0
2024-02-05,0.86649,0.87186,0.86431,0.87068,0
2024-02-06,0.87053,0.87411,0.86897,0.8698,0
2024-02-07,0.8698,0.87535,0.86859,0.87423,0
2024-02-08,0.87427,0.87608,0.87238,0.87367,0
2024-02-09,0.87353,0.87621,0.87258,0.8746,0
2024-02-12,0.8744,0.8773,0.87262,0.87559,0
2024-02-13,0.87552,0.8881,0.87422,0.88691,0
2024-02-14,0.88709,0.88857,0.88469,0.88581,0
2024-02-15,0.88565,0.88588,0.87825,0.87981,0
2024-02-16,0.87982,0.88392,0.87889,0.88025,0
2024-02-19,0.8808,0.8828,0.8796,0.88193,0
2024-02-20,0.88199,0.88378,0.87852,0.88184,0
2024-02-21,0.88174,0.88204,0.87878,0.87963,0
2024-02-22,0.87948,0.88212,0.87418,0.8801,0
2024-02-23,0.87978,0.88195,0.87808,0.88054,0
2024-02-26,0.8793,0.88221,0.87875,0.87994,0
2024-02-27,0.87992,0.88106,0.87841,0.8786,0
2024-02-28,0.87849,0.88156,0.87776,0.87882,0
2024-02-29,0.87869,0.8847,0.87789,0.88447,0
2024-03-01,0.88435,0.88926,0.8825,0.88292,0
2024-03-04,0.88387,0.88641,0.88052,0.88488,0
2024-03-05,0.88476,0.88663,0.8825,0.88329,0
2024-03-06,0.8833,0.88558,0.88039,0.88198,0
2024-03-07,0.88189,0.88246,0.87723,0.87769,0
2024-03-08,0.87755,0.87824,0.87293,0.8764,0
2024-03-11,0.87685,0.87948,0.87545,0.87742,0
2024-03-12,0.87741,0.8795,0.87467,0.8773,0
2024-03-13,0.87711,0.87895,0.87658,0.87862,0
2024-03-14,0.87867,0.8841,0.87815,0.88341,0
2024-03-15,0.88341,0.8853,0.88188,0.8832,0
2024-03-18,0.8826,0.88846,0.88212,0.88695,0
2024-03-19,0.88744,0.88985,0.88665,0.88768,0
2024-03-20,0.88768,0.8919,0.88548,0.88668,0
2024-03-21,0.88666,0.8994,0.88389,0.89734,0
2024-03-22,0.89733,0.90203,0.89651,0.8967,0
2024-03-25,0.89677,0.89955,0.89645,0.89917,0
2024-03-26,0.89917,0.90433,0.89881,0.9036,0
2024-03-27,0.90346,0.90715,0.9028,0.90377,0
2024-03-28,0.90372,0.90647,0.89993,0.90198,0
2024-03-29,0.90195,0.9028,0.89972,0.901,0
2024-04-01,0.90108,0.9057,0.90009,0.90415,0
2024-04-02,0.90419,0.9091,0.90376,0.90749,0
2024-04-03,0.90746,0.90953,0.90227,0.90282,0
2024-04-04,0.90287,0.9075,0.9,0.9014,0
2024-04-05,0.90123,0.90708,0.89974,0.90161,0
2024-04-08,0.90177,0.90656,0.90132,0.90526,0
2024-04-09,0.90525,0.90563,0.90124,0.90329,0
2024-04-10,0.90335,0.91475,0.90232,0.91271,0
2024-04-11,0.91269,0.91466,0.90738,0.90974,0
2024-04-12,0.90971,0.91454,0.90897,0.91385,0
2024-04-15,0.91245,0.9152,0.91074,0.91145,0
2024-04-16,0.91151,0.9142,0.9111,0.91206,0
2024-04-17,0.91249,0.91324,0.90932,0.91025,0
2024-04-18,0.91061,0.91258,0.90806,0.91232,0
2024-04-19,0.91232,0.9131,0.90102,0.90955,0
2024-04-22,0.90974,0.91238,0.90926,0.91194,0
2024-04-23,0.91182,0.913,0.90864,0.91137,0
2024-04-24,0.91136,0.91532,0.911,0.9145,0
2024-04-25,0.9147,0.91568,0.9112,0.91213,0
2024-04-26,0.91208,0.91503,0.90956,0.9133,0
2024-04-29,0.91264,0.91533,0.90865,0.90992,0
2024-04-30,0.91019,0.91951,0.90973,0.91879,0
2024-05-01,0.91879,0.92242,0.91453,0.91649,0
2024-05-02,0.9162,0.91733,0.90912,0.91013,0
2024-05-03,0.91017,0.91051,0.90054,0.90466,0
2024-05-06,0.90459,0.90662,0.90355,0.90578,0
2024-05-07,0.90574,0.90936,0.90554,0.9082,0
2024-05-08,0.9083,0.90957,0.90693,0.90774,0
2024-05-09,0.90773,0.90986,0.90481,0.90561,0
2024-05-10,0.90562,0.90853,0.90514,0.9059,0
2024-05-13,0.90479,0.90875,0.90451,0.90803,0
2024-05-14,0.90804,0.91021,0.90533,0.90637,0
2024-05-15,0.90617,0.90704,0.9012,0.90192,0
2024-05-16,0.90201,0.9064,0.89876,0.90564,0
2024-05-17,0.90574,0.90982,0.90546,0.90854,0
2024-05-20,0.90919,0.9109,0.90765,0.90998,0
2024-05-21,0.90997,0.91162,0.90867,0.9108,0
2024-05-22,0.91069,0.91581,0.9103,0.91536,0
2024-05-23,0.9153,0.91548,0.91258,0.91421,0
2024-05-24,0.91401,0.91583,0.91334,0.914,0
2024-05-27,0.91394,0.91537,0.91247,0.91354,0
2024-05-28,0.91353,0.91365,0.9085,0.91194,0
2024-05-29,0.91204,0.91436,0.91124,0.91293,0
2024-05-30,0.91289,0.9141,0.90234,0.90313,0
2024-05-31,0.90292,0.90692,0.90021,0.90185,0
2024-06-03,0.9018,0.90357,0.89479,0.89568,0
2024-06-04,0.89558,0.8972,0.88839,0.88985,0
2024-06-05,0.88988,0.89488,0.88928,0.89321,0
2024-06-06,0.89314,0.8935,0.88868,0.88923,0
2024-06-07,0.88916,0.8973,0.88807,0.8955,0
2024-06-10,0.89625,0.89829,0.89484,0.89538,0
2024-06-11,0.89538,0.89932,0.89538,0.89732,0
2024-06-12,0.89727,0.89832,0.88926,0.89411,0
2024-06-13,0.89401,0.89672,0.89287,0.89344,0
2024-06-14,0.89346,0.8948,0.88943,0.88962,0
2024-06-17,0.89005,0.89321,0.88892,0.88974,0
2024-06-18,0.88938,0.89,0.88263,0.88408,0
2024-06-19,0.88407,0.88544,0.8831,0.88427,0
2024-06-20,0.88398,0.8926,0.88316,0.89107,0
2024-06-21,0.89105,0.89444,0.89045,0.8929,0
2024-06-24,0.89322,0.89452,0.89187,0.89272,0
2024-06-25,0.8927,0.89526,0.89127,0.8943,0
2024-06-26,0.89439,0.8983,0.89398,0.89725,0
2024-06-27,0.8972,0.89888,0.89569,0.89805,0
2024-06-28,0.8977,0.90098,0.89762,0.89832,0
2024-07-01,0.89828,0.90447,0.89775,0.90262,0
2024-07-02,0.90238,0.90496,0.902,0.90339,0
2024-07-03,0.90348,0.90504,0.8985,0.90117,0
2024-07-04,0.90075,0.90394,0.89908,0.89984,0
2024-07-05,0.89985,0.90062,0.8951,0.8951,0
2024-07-08,0.89525,0.8978,0.89421,0.89713,0
2024-07-09,0.89727,0.89904,0.8968,0.8975,0
